raceId,year,round,circuitId,race_name,date,time,races_url,circuitRef,circuit_name,location,country,lat,lng,circuits_url
184,1999,10,10,German Grand Prix,1999-08-01,0,http://en.wikipedia.org/wiki/1999_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
201,1998,11,10,German Grand Prix,1998-08-02,0,http://en.wikipedia.org/wiki/1998_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
216,1997,10,10,German Grand Prix,1997-07-27,0,http://en.wikipedia.org/wiki/1997_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
234,1996,11,10,German Grand Prix,1996-07-28,0,http://en.wikipedia.org/wiki/1996_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
248,1995,9,10,German Grand Prix,1995-07-30,0,http://en.wikipedia.org/wiki/1995_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
265,1994,9,10,German Grand Prix,1994-07-31,0,http://en.wikipedia.org/wiki/1994_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
282,1993,10,10,German Grand Prix,1993-07-25,0,http://en.wikipedia.org/wiki/1993_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
298,1992,10,10,German Grand Prix,1992-07-26,0,http://en.wikipedia.org/wiki/1992_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
313,1991,9,10,German Grand Prix,1991-07-28,0,http://en.wikipedia.org/wiki/1991_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
329,1990,9,10,German Grand Prix,1990-07-29,0,http://en.wikipedia.org/wiki/1990_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
347,2010,11,10,German Grand Prix,2010-07-25,12:00:00,http://en.wikipedia.org/wiki/2010_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
364,1989,9,10,German Grand Prix,1989-07-30,0,http://en.wikipedia.org/wiki/1989_German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
